#	Address	Found address	Long	Lat
77	Новоясеневский проспект, вл. 2А, стр. 1	Новоясеневский проспект, 2Ас1	37.505813	55.617729
78	Новоясеневский проспект, вл. 1, стр. 1	Новоясеневский проспект, 1к1	37.506711	55.619376
79	Ул. Профсоюзная, д. 129, стр. 1	Профсоюзная улица, 129с1	37.506774	55.619976
80	Ул. Профсоюзная, д. 150, стр. 2	Профсоюзная улица, 150с2	37.506837	55.622182
81	Ул. Профсоюзная, д. 152, стр. 1	Профсоюзная улица, 152с1	37.506514	55.621872
82	Ул. Профсоюзная, д. 154Г, стр. 2	Профсоюзная улица, вл154Гс2	37.505777	55.620509
83	Ул. Юшуньская Малая, д.ВЛ.1В, стр. 1	улица Линии Октябрьской Железной Дороги, вл1	37.562856	55.841832
84	Ул. Юшуньская Малая, д.ВЛ.1В, стр. 2	улица Линии Октябрьской Железной Дороги, вл1	37.562856	55.841832
85	Ул. Юшуньская Большая, вл.1, стр. 1	Большая Юшуньская улица, 1с1	37.5978	55.652705
86	Нахимовский проспект, д. 9, корп. 1, стр. 1	Нахимовский проспект, 9к1с1	37.60779	55.663827
87	Нахимовский проспект, д. 9, корп. 1, стр. 2	Нахимовский проспект, 9к1с2	37.608338	55.663695
88	Нахимовский проспект, д. 9, корп. 1, стр. 3	Нахимовский проспект, 9к1с3	37.608634	55.663756
89	Ул. Азовская, д. ВЛ.3, стр. 1	улица Линии Октябрьской Железной Дороги, вл1	37.562856	55.841832
90	Багратионовский проезд, д.2А	Багратионовский проезд, 2А	37.514212	55.746644
91	Кутузовский проспект, д.71-1/1, стр.1	Кутузовский проспект, 71/1с1	37.453288	55.724241
92	Ул. Малая Филевская, д.58, стр.1	Малая Филёвская улица, 58	37.447836	55.734136
93	Проспект Вернадского, д. 39А	проспект Вернадского, 39А	37.506047	55.676281
94	Проспект Вернадского, д. 39Б	проспект Вернадского, 39	37.505894	55.675544
95	МКАД, 51-й км, д. 1	МКАД, 51-й километр, 1	37.414616	55.689009
96	Мичуринский проспект, д. 45А	Мичуринский проспект, 45А	37.483714	55.688979
97	Ул. Раменки, д. 5А	улица Раменки, 5А	37.494503	55.693104
98	Ул. Раменки, д. 5Б	улица Раменки, 5Б	37.493793	55.69249
99	Ул. Героев Панфиловцев, д.1/2, стр.2	улица Героев Панфиловцев, 1/2с2	37.438709	55.851439
100	Строгинский бульвар, вл.26, стр.1	Строгинский бульвар, 26к1	37.402525	55.802391
101	Ул. Тушинская, вл. 24	Тушинская улица, 24	37.436059	55.828546
102	Ленинградский проспект, д.27, стр.6	Ленинградский проспект, 27с2	37.565677	55.783939
103	Ленинградский проспект, д.27, стр.7	Ленинградский проспект, 27с2	37.565677	55.783939
104	Ленинградский проспект, д.48/2, стр.10	Ленинградский проспект, 48/2с6	37.54383	55.796496
105	Ленинградское шоссе, д.9 стр.4	Ленинградское шоссе, 9с4	37.497998	55.81691
106	Коровинское шоссе, вл. 33А	Коровинское шоссе, 33А	37.5183	55.882237
